feature,feat_class,pred_class,x,y,fdr_pval_byclass,resp_class,error_type
FT1408,Good,Good,0.4303030303030304,0.310909090909091,1.1178780238072126e-10,DCM > 15m > 175m,Good peak found
FT1409,Good,Good,0.4993939393939393,0.2957575757575759,2.748835525666595e-12,DCM > 15m > 175m,Good peak found
FT1411,Bad,Bad,0.4054545454545455,0.22272727272727266,4.884406413851251e-7,DCM > 15m > 175m,Bad peak avoided
FT1416,Good,Good,0.08181818181818179,0.5996969696969696,1.123151564229275e-15,15m > DCM > 175m,Good peak found
FT1418,Good,Good,0.08363636363636373,0.25696969696969685,0.001155378247444673,15m = DCM > 175m,Good peak found
FT1419,Good,Good,0.17818181818181822,0.27575757575757587,6.678386945378813e-5,15m = DCM > 175m,Good peak found
FT1420,Good,Good,0.4387878787878787,0.21454545454545437,9.056009597563511e-9,DCM > 15m > 175m,Good peak found
FT1421,Bad,Bad,0.17575757575757578,0.15575757575757576,0.07923224119936473,15m = DCM > 175m,Bad peak avoided
FT1422,Bad,Bad,0.03333333333333344,0.06878787878787884,0.9126758464291976,All equal,Bad peak avoided
FT1423,Bad,Bad,0.05878787878787883,0.1033333333333335,0.8368873104995725,All equal,Bad peak avoided
FT1424,Bad,Bad,0.016666666666666607,0.1565151515151515,0.4923672601310304,Hard to tell,Bad peak avoided
FT1426,Bad,Bad,0.038787878787878816,0.10121212121212109,0.8568722947591318,All equal,Bad peak avoided
FT1427,Bad,Bad,0.028484848484848557,0.10090909090909106,0.8568722947591318,All equal,Bad peak avoided
FT1428,Bad,Bad,-0.036363636363636376,0.08909090909090889,0.8674524610357536,All equal,Bad peak avoided
FT1429,Bad,Bad,0.09818181818181815,0.030303030303030276,0.8674524610357536,All equal,Bad peak avoided
FT1430,Good,Good,0.01969696969696977,0.03287878787878773,0.9089485518380765,All equal,Good peak found
FT1431,Bad,Bad,-0.011515151515151478,0.051212121212121264,0.9642104645357824,All equal,Bad peak avoided
FT1432,Good,Good,0.07757575757575763,-0.6145454545454545,3.2074143657626e-16,15m < DCM < 175m,Good peak found
FT1433,Bad,Bad,0.06424242424242421,-0.39393939393939403,5.352418331529718e-7,15m < DCM < 175m,Bad peak avoided
FT1434,Bad,Bad,0.11212121212121207,-0.55,9.55418088413927e-13,15m < DCM < 175m,Bad peak avoided
FT1435,Bad,Bad,0.027878787878787836,0.06000000000000005,0.9410884099560776,All equal,Bad peak avoided
FT1436,Bad,Bad,0.08181818181818179,0.020303030303030267,0.9126758464291976,All equal,Bad peak avoided
FT1437,Good,Good,0.045454545454545414,0.6312121212121209,8.36032115131685e-17,15m > DCM > 175m,Good peak found
FT1438,Good,Good,0.08787878787878789,0.6136363636363633,3.2074143657626e-16,15m > DCM > 175m,Good peak found
FT1439,Bad,Bad,0.029090909090909056,0.6339393939393938,5.00532993296139e-16,15m > DCM > 175m,Bad peak avoided
FT1440,Good,Good,0.16545454545454552,-0.543939393939394,6.222601453502208e-14,15m < DCM < 175m,Good peak found
FT1442,Bad,Bad,-0.0884848484848485,0.09939393939393937,0.7772876409790769,All equal,Bad peak avoided
FT1443,Bad,Bad,-0.12242424242424244,0.020000000000000018,0.8568722947591318,All equal,Bad peak avoided
