"feature","med_missed_scans"
"FT0989",11
"FT0990",5
"FT0991",7
"FT0992",1
"FT0993",11
"FT0994",29
"FT0995",6
"FT0996",11
"FT0997",7
"FT0998",3
"FT0999",2
"FT1000",3
"FT1001",45
"FT1002",53
"FT1003",66
"FT1004",-4
"FT1005",-3
"FT1006",10
"FT1007",0
"FT1008",0
"FT1009",-1
"FT1010",0
"FT1011",0
"FT1012",22
"FT1013",12.5
"FT1014",2
"FT1015",22
"FT1016",9
"FT1017",13.5
"FT1018",14.5
"FT1019",12.5
"FT1020",8
"FT1021",3
"FT1022",3
"FT1023",8.5
"FT1024",2
"FT1025",15
"FT1026",2.5
"FT1027",16
"FT1028",7
"FT1029",3
"FT1030",0
"FT1031",4
"FT1032",1
"FT1033",4
"FT1034",4
"FT1035",0
"FT1036",2
"FT1037",29.5
"FT1038",14.5
"FT1039",0
"FT1040",0
"FT1041",23.5
"FT1042",14
"FT1043",20
"FT1044",9
"FT1045",16
"FT1046",13
"FT1047",9
"FT1048",3
"FT1049",17
"FT1050",50.5
"FT1051",24.5
"FT1052",42.5
"FT1053",4
"FT1054",10
"FT1055",102
"FT1056",76
"FT1057",1
"FT1058",31
"FT1059",36
"FT1060",39.5
"FT1061",73.5
"FT1062",23
"FT1063",12
"FT1064",8
"FT1065",47
"FT1066",43
"FT1067",-20
"FT1068",7
"FT1069",33
"FT1070",12
"FT1071",5
"FT1072",6
"FT1073",38
"FT1074",-1
"FT1075",2
"FT1076",61
"FT1077",-4
"FT1078",0
"FT1079",-4
"FT1080",0
"FT1081",0
"FT1082",0
"FT1083",41
"FT1084",21.5
"FT1085",11
"FT1086",19
"FT1087",31
"FT1088",8
"FT1089",15
"FT1090",4
"FT1091",-2
"FT1092",14
"FT1093",-2
"FT1094",41
"FT1095",0
"FT1096",1
"FT1097",0
"FT1098",0
"FT1099",3
"FT1100",7
"FT1101",1
"FT1102",0
"FT1103",0
"FT1104",39
"FT1105",3
"FT1106",33
"FT1107",0
"FT1108",7.5
"FT1109",26
"FT1110",3.5
"FT1111",-38
"FT1112",2
"FT1113",1
"FT1114",3
"FT1115",20
"FT1116",1
"FT1117",4
"FT1118",7
"FT1119",29
"FT1120",42
"FT1121",40
"FT1122",53
"FT1123",42
"FT1124",15.5
"FT1125",17
"FT1126",1
"FT1127",0
"FT1128",5
"FT1129",0
"FT1130",5
"FT1131",7
"FT1132",36
"FT1133",45
"FT1134",113
"FT1135",22
"FT1136",22
"FT1137",24
"FT1138",47
"FT1139",13
"FT1140",2
"FT1141",-3
"FT1142",8
"FT1143",3.5
"FT1144",44
"FT1145",32
"FT1146",9.5
"FT1147",12
"FT1148",22
"FT1149",6
"FT1150",17.5
"FT1151",13
"FT1152",13
"FT1153",7.5
"FT1154",11
"FT1155",37
"FT1156",37
"FT1157",29
"FT1158",2
"FT1159",4
"FT1160",0
"FT1161",1
"FT1162",3
"FT1163",2
"FT1164",-1
"FT1165",9
"FT1166",11.5
"FT1167",17
"FT1168",39.5
"FT1169",11
"FT1170",4.5
"FT1171",3
