"feature","smp_to_std"
"FT0297",-0.23875813463518
"FT0298",-0.206575872385402
"FT0299",-0.0420353815321111
"FT0300",-0.170641660480053
"FT0301",-0.280198362372321
"FT0302",-0.399837153137294
"FT0303",-0.494974184063363
"FT0304",1.12542053018792
"FT0305",3.53470070265769
"FT0306",-4.36715947560173
"FT0307",0.00901766569062504
"FT0308",0.266735967228314
"FT0309",-0.417913152842319
"FT0310",-0.266812453870511
"FT0311",-0.189727478028826
"FT0312",-0.131179396020973
"FT0313",0.988287827471532
"FT0314",-0.0111829933511907
"FT0315",0.202372736554205
"FT0316",0.0366630043095482
"FT0317",-0.265317555998316
"FT0318",0.367897709907921
"FT0319",-0.172910545746514
"FT0320",1.15942499894369
"FT0321",0.569226559656837
"FT0322",-0.4195343316675
"FT0323",0.136271093196852
"FT0324",-0.227740267959618
"FT0325",-0.212911862763577
"FT0326",-0.132077954251743
"FT0327",-0.0702460824244527
"FT0328",-0.344638297538391
"FT0329",-0.752068792567391
"FT0330",-0.0933106396709434
"FT0331",-0.094309305181746
"FT0332",-0.0244892437209555
"FT0333",3.53470070265769
"FT0334",-0.665549935990362
"FT0335",-0.460270063780274
"FT0336",-4.36715947560173
"FT0337",-0.0836084696708953
"FT0338",-0.205608667131045
"FT0339",-0.13017193720992
"FT0340",0.284606944351008
"FT0341",0.0893653267024865
"FT0342",-0.00350007198011641
"FT0343",0.135803704970537
"FT0344",-0.141630953676999
"FT0345",-4.36715947560173
"FT0346",-4.36715947560173
"FT0347",3.53470070265769
"FT0348",0.291503079886193
"FT0349",0.115742954188909
"FT0350",-0.162123962743049
"FT0351",0.0904479281210562
"FT0352",0.167199529451407
"FT0353",0.0463619749197408
"FT0354",0.0969201151156224
"FT0355",0.156606705637568
"FT0356",-1.01221215629909
"FT0357",3.53470070265769
"FT0358",-0.86064555014566
"FT0359",3.53470070265769
"FT0360",0.785442675414352
"FT0361",-0.309378076577797
"FT0362",0.254878487298714
"FT0363",0.462179685119017
"FT0364",0.447302942707093
"FT0365",-0.0786536311206001
"FT0366",0.19793292156945
"FT0367",0.428161062733866
"FT0368",3.53470070265769
"FT0369",0.590852752612795
"FT0370",-4.36715947560173
"FT0371",-1.33082774144103
"FT0372",0.00618176842909608
"FT0373",0.157707175414891
"FT0374",-0.00232355660989489
"FT0375",-0.422312309932333
"FT0376",-0.0343351431902158
"FT0377",-0.0942470657406514
"FT0378",0.0195041602235028
"FT0379",0.000642263202895788
"FT0380",-0.0729849951292127
"FT0381",0.00158796027493427
"FT0382",0.00755153423057927
"FT0383",-0.803908973779243
"FT0384",0.118915028400085
"FT0385",0.0399774966250919
"FT0386",0.0244222916479543
"FT0387",-0.220821450485128
"FT0388",0.00998289507156067
"FT0389",0.127892551079894
"FT0390",-0.0809040229775789
"FT0391",-0.0562249044234503
"FT0392",-0.0525327956179444
"FT0393",-0.0560512913246927
"FT0394",3.53470070265769
"FT0395",3.53470070265769
"FT0396",0.325819557424993
"FT0397",0.162538515763408
"FT0398",3.53470070265769
"FT0399",-0.401765602088259
"FT0400",-0.854021652935962
