"feature","filename","iso_cor","init_area","iso_area"
"FT006","190715_Smp_FK180310S77C1-DCM_B.mzML",0,596816.718367748,0
"FT006","190715_Smp_FK180310S80C1-25m_A.mzML",0,428610.184607074,0
"FT006","190715_Std_4uMStdsMix2InMatrix_1.mzML",0,79030.7699569594,0
"FT006","190715_Std_4uMStdsMix2InMatrix_1.mzML",0,46828.756972041,0
"FT006","190715_Blk_KM1906U14-Blk_C.mzML",0,16494.2403450985,0
"FT006","190715_Poo_TruePooFK180310_Full1.mzML",0,25325.4284143369,0
"FT006","190715_Poo_TruePooFK180310_Half1.mzML",0,15161.6625084165,0
"FT006","190715_Poo_TruePooFK180310_Half3.mzML",0,337699.354141608,0
"FT006","190715_Smp_FK180310S62C1-25m_A.mzML",0,18409.7589747419,0
"FT006","190715_Smp_FK180310S62C1-25m_B.mzML",0,27546.5189022231,0
"FT006","190715_Smp_FK180310S62C1-25m_C.mzML",0,419828.252962567,0
"FT006","190715_Smp_FK180310S62C1-DCM_A.mzML",0,31067.2627500044,0
"FT006","190715_Smp_FK180310S62C1-DCM_B.mzML",0,33371.3919101767,0
"FT006","190715_Smp_FK180310S64C1-25m_A.mzML",0,32302.5741777606,0
"FT006","190715_Smp_FK180310S77C1-25m_A.mzML",0,50728.5885051815,0
"FT006","190715_Smp_FK180310S77C1-DCM_A.mzML",0,25960.325690785,0
"FT006","190715_Smp_FK180310S77C1-DCM_C.mzML",0,46643.3393367017,0
"FT006","190715_Smp_FK180310S80C1-25m_B.mzML",0,18225.0105826645,0
"FT006","190715_Smp_FK180310S80C1-25m_C.mzML",0,19295.7164202025,0
"FT006","190715_Smp_FK180310S80C1-DCM_A.mzML",0,25243.6964994553,0
"FT006","190715_Smp_FK180310S80C1-DCM_B.mzML",0,17753.9465649647,0
"FT006","190715_Smp_FK180310S80C1-DCM_C.mzML",0,25689.0957115847,0
"FT006","190715_Std_4uMStdsMix1InH2O_1.mzML",0,48171.701906221,0
"FT006","190715_Std_4uMStdsMix1InH2O_2.mzML",0,107628.122136969,0
